	element	cell size	cell type	kpd	err us	err vasp	diff in errors	kp file	grid type
215	Al	9	body centered orthorhombic	399.11629297795599	0.0008040202111110339	0.0008039091000004994	-1.1111111053452305e-07	18	sc
216	Al	9	body centered orthorhombic	108.46854208560066	0.002942868677777266	0.002942868677777266	0.0	9	bcc
217	Al	9	body centered orthorhombic	821.00498705675636	0.00037646465555596365	0.00037657576666694226	1.1111111097861226e-07	18	bcc
218	Al	9	body centered orthorhombic	210.94434703940018	0.0018067575666664837	0.0018067575666664837	0.0	9	fcc
219	Al	9	body centered orthorhombic	1618.0390255863083	5.624243333368639e-05	5.624243333368639e-05	0.0	18	fcc
220	Al	10	base centered monoclinic	73.910424625547421	0.002487109099999607	0.002487109099999607	0.0	10	sc
221	Al	10	base centered monoclinic	546.00493867521516	0.0008757091000002326	0.000875809100000069	9.999999983634211e-08	20	sc
222	Al	10	base centered monoclinic	147.82084925109484	0.000957590899999694	0.000957590899999694	0.0	10	bcc
223	Al	10	base centered monoclinic	1106.6587903392774	0.00027110909999983335	0.0002712091000001138	1.0000000028043132e-07	20	bcc
224	Al	10	base centered monoclinic	280.32692583203118	0.0006343908999997261	0.0006343908999997261	0.0	10	fcc
225	Al	10	base centered monoclinic	2157.3853674484112	8.77091000002217e-05	8.77091000002217e-05	0.0	20	fcc
226	Al	11	base centered monoclinic	185.3087493089175	0.004575090918181868	0.004575090918181868	0.0	11	sc
227	Al	11	base centered monoclinic	1450.2423858958762	0.00013736362727234663	0.00013736362727234663	0.0	22	sc
228	Al	11	base centered monoclinic	370.617498617835	0.0016752727363633646	0.001675181827272887	-9.090909047770879e-08	11	bcc
229	Al	11	base centered monoclinic	2900.4847717917523	0.00013627271818172915	0.00013636362727220686	9.090909047770879e-08	22	bcc
230	Al	11	base centered monoclinic	725.12119294793808	6.7272636363746585e-06	6.7272636363746585e-06	0.0	11	fcc
231	Al	11	base centered monoclinic	5736.514326432577	3.8999990909172055e-05	3.8999990909172055e-05	0.0	22	fcc
232	W	1	body centered cubic	0.32075033687070659	0.05739536400000134	0.05739236400000003	-3.0000000013075123e-06	3	sc
